Index	Field_ID	Sample_ID	Site_ID	UTM_Zone	UTM_Easting	UTM_Northing	Location_vs_WWTP	Sample_Type	Sample_Label	Taxon	FFG	Analysis_Type	Temperature	DO	Conductivity	TDS	pH	NH4	NH3	Collection_Date	Researcher	Crew	Scribe
1	Spider-INV-1	KK219	REF1	17	544950.69	4831053.31	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
2	Spider-INV-2	KK220	REF1	17	544950.69	4831053.31	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
3	Spider-INV-3	KK221	REF1	17	544950.69	4831053.31	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
4	Spider-INV-4	KK222	REF1	17	544950.69	4831053.31	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
5	Spider-INV-5	KK223	REF1	17	544950.69	4831053.31	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
6	Spider-INV-6	KK224	REF1	17	544950.69	4831053.31	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
7	Spider-INV-7	KK225	REF1	17	544950.69	4831053.31	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
8	Spider-INV-8	KK226	REF1	17	544950.69	4831053.31	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
9	Spider-INV-9	KK227	REF1	17	544950.69	4831053.31	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
10	Spider-INV-10	KK228	REF1	17	544950.69	4831053.31	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
11	Spider-WMR-1	KK229	REF2	17	541845.31	4825942.73	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
12	Spider-WMR-2	KK230	REF2	17	541845.31	4825942.73	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
13	Spider-WMR-3	KK231	REF2	17	541845.31	4825942.73	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
14	Spider-WMR-4	KK232	REF2	17	541845.31	4825942.73	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
15	Spider-WMR-5	KK233	REF2	17	541845.31	4825942.73	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
16	Spider-WMR-6	KK234	REF2	17	541845.31	4825942.73	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
17	Spider-WMR-7	KK235	REF2	17	541845.31	4825942.73	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
18	Spider-WMR-8	KK236	REF2	17	541845.31	4825942.73	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
19	Spider-WMR-9	KK237	REF2	17	541845.31	4825942.73	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
20	Spider-WMR-10	KK238	REF2	17	541845.31	4825942.73	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
21	Spider-KIW-1	KK239	REF3	17	542484.9	4816999.96	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
22	Spider-KIW-2	KK240	REF3	17	542484.9	4816999.96	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
23	Spider-KIW-3	KK241	REF3	17	542484.9	4816999.96	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
24	Spider-KIW-4	KK242	REF3	17	542484.9	4816999.96	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
25	Spider-KIW-5	KK243	REF3	17	542484.9	4816999.96	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
